Gene Score Original_Placement
9606.ENSP00000344818 0.005836258284608397 0
9606.ENSP00000301825 0.0021038594846440697 53
9606.ENSP00000360561 0.0021036696502763938 54
9606.ENSP00000360250 0.002101357457364832 55
9606.ENSP00000286063 0.0020814040762902122 58
9606.ENSP00000367615 0.0017547357116987259 96
9606.ENSP00000369456 0.001551066186148692 101
9606.ENSP00000339479 0.0014904573722937377 102
9606.ENSP00000235628 0.0014859676171088756 103
9606.ENSP00000433415 0.001485748008684942 104
9606.ENSP00000242210 0.001485327699330597 105
9606.ENSP00000245552 0.001485204480958709 106
9606.ENSP00000373674 0.001484945039636721 107
9606.ENSP00000257770 0.0014812559892354372 108
9606.ENSP00000218548 0.0014450045464384858 109
9606.ENSP00000337853 0.0013985436460917538 110
9606.ENSP00000265316 0.0013866799173667215 111
9606.ENSP00000222388 0.0013846065185337114 112
9606.ENSP00000351717 0.0013739979706795212 113
9606.ENSP00000344155 0.0013716999902332768 114
9606.ENSP00000349396 0.0013712426035455418 115
9606.ENSP00000263094 0.0013417201058486376 116
9606.ENSP00000430075 0.0013162746472657786 117
9606.ENSP00000379802 0.0013160484361333423 118
9606.ENSP00000256578 0.0013148509056433897 119
9606.ENSP00000350132 0.0012951210595811696 120
9606.ENSP00000215832 0.0012488049182957947 121
9606.ENSP00000298556 0.0012410408755038308 122
9606.ENSP00000350941 0.0012172393675122927 123
9606.ENSP00000389770 0.0012155406364382578 124
9606.ENSP00000260282 0.0012155399665011856 125
9606.ENSP00000343314 0.001215283903432624 126
9606.ENSP00000260600 0.0012151831641275355 127
9606.ENSP00000363575 0.0012151214441971914 128
9606.ENSP00000270310 0.0012149917212495157 129
9606.ENSP00000294016 0.0011926445561141435 130
9606.ENSP00000254235 0.0011914991446969588 131
9606.ENSP00000286355 0.0011901207436791094 132
9606.ENSP00000342952 0.0011895989849774653 133
9606.ENSP00000419361 0.0011893677164312871 134
9606.ENSP00000311405 0.0011889036504045775 135
9606.ENSP00000312126 0.001188701642671568 136
9606.ENSP00000392859 0.001188573474804339 137
9606.ENSP00000259727 0.0011885214243345641 138
9606.ENSP00000286648 0.0011433419766559937 139
9606.ENSP00000286621 0.0011336049847724642 140
9606.ENSP00000216194 0.0011126653824438354 141
9606.ENSP00000263967 0.00110408617976187 142
9606.ENSP00000419851 0.0010843303461721002 143
9606.ENSP00000263025 0.0010830586465305889 144
